baseline,seed,total_return,mean_reward,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,promotion_count,promotion_delay,UpperHFPower,LowerLFDrift,FocusScore,promotion_threshold,promotion_ratio,promotion_mid_gain,promotion_adapt_gain
freq_hrl,123,0.20243021725501587,0.00025618202912169576,12.148940367413614,27.94598512099893,0.033300820589293956,6.078835706531993,9.36944647224436,0.056216678833466156,2.2545804106966984e-05,0.0004545822849512597,0.054549874194151166,300,146.0,0.004044253570936282,1.4501671211433653,0.8641396619536063,0.00035,0.2,0.0,0.5
no_promotion,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.00035,0.2,0.0,0.5
freq_hrl,456,0.269329179771016,0.000331379111260164,16.717473471685025,27.12426871340111,0.005890698215549106,45.72109619537016,6.955881892501283,0.0417352913550077,2.5661500901654475e-05,0.0005535840405616943,0.06643008486740332,298,101.0,0.0017696162882431222,1.7489198308658513,0.7763399190560237,0.00035,0.2,0.0,0.5
no_promotion,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.00035,0.2,0.0,0.5
freq_hrl,789,0.2567296545340376,0.00031752250397407996,17.648059612073414,42.94890808762691,0.005415809652642878,47.40374403830004,5.596504904194029,0.03357902942516418,1.1646510099977178e-05,0.0004955602539895645,0.059467230478747746,66,-1.0,0.0006982202509187847,1.7757524445045496,0.7977977181579777,0.00035,0.2,0.0,0.5
no_promotion,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.00035,0.2,0.0,0.5
freq_hrl,2026,0.2394780973681292,0.00029830860259877123,14.559464603017975,24.536501762917005,0.01103294520932463,21.705727058784934,8.518881964165983,0.05111329178499589,3.4059650842118555e-05,0.0004108121472048417,0.049297457664581004,259,21.0,0.003828392612115423,1.5421436336245689,0.9291981848597967,0.00035,0.2,0.0,0.5
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.00035,0.2,0.0,0.5
freq_hrl,42,0.25097712414314866,0.00031114244554766396,15.693440268237518,28.678461718631493,0.010353329953948442,24.241198267561604,6.323691959456353,0.037942151756738124,2.71489126684669e-05,0.0005919323460578488,0.07103188152694186,271,319.0,0.000745451354129926,1.881282515602735,0.7118757239018951,0.00035,0.2,0.5,0.0
no_promotion,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.00035,0.2,0.5,0.0
freq_hrl,123,0.2261873127397076,0.00028333944717281643,15.162152191878196,32.594615366045346,0.011442336748610393,19.7675804959312,6.3057324277669675,0.0378343945666018,1.7070853613236544e-05,0.0005049699513359292,0.060596394160311505,333,146.0,0.0009620723378353425,1.8228131969815875,0.8307592769466431,0.00035,0.2,0.5,0.0
no_promotion,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.00035,0.2,0.5,0.0
freq_hrl,456,0.27189208370675266,0.00033418206478069603,17.114788655655413,27.777450244718946,0.005547187103036588,49.014406519281835,6.013960076827049,0.03608376046096229,2.328953120926909e-05,0.0005572024866959194,0.06686429840351032,269,102.0,0.00060883691100363,1.907941429629295,0.7875461967722439,0.00035,0.2,0.5,0.0
no_promotion,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.00035,0.2,0.5,0.0
freq_hrl,789,0.2576410191467706,0.0003185297607325144,17.70117697348669,42.92650008275681,0.005094712754647457,50.57027384159145,5.5520653106738305,0.03331239186404299,1.161692974083272e-05,0.0004968051301210845,0.05961661561453014,66,-1.0,0.0006784047578748981,1.7797578796978673,0.7964617973807244,0.00035,0.2,0.5,0.0
no_promotion,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.00035,0.2,0.5,0.0
freq_hrl,2026,0.20208240783967568,0.0002557451424307453,13.287818704494844,22.682317105659244,0.015629426407211322,12.929611271366689,6.630654026475054,0.03978392415885032,2.6699262282295803e-05,0.0003647731496760708,0.043772777961128495,263,21.0,0.0008952935059695134,1.9143454428070314,0.8837387703663894,0.00035,0.2,0.5,0.0
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.00035,0.2,0.5,0.0
