seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,upper_plan_target_mean,upper_plan_target_std,terminal_launch_shift_mean,terminal_launch_shift_std,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_wait_replan_count,shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_actor_base_used_mean,shared_ppo_wait_replan_base_delta_abs_mean_s,shared_ppo_wait_replan_final_delta_abs_mean_s,shared_ppo_loss
561,native_learned_gate,supported_native_episode_loop,-9305.636,4.889,0.4071,-5.703200000000001,66.0,0.7480916030534351,336.54412949854185,6.803129931920845,-44.465648854961835,4.372533476883643,1.0,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47870.63525390625
881,native_learned_gate,supported_native_episode_loop,-2689.537,4.151,0.5459,-5.2428,66.0,0.7480916030534351,337.9500555194365,4.257095847431911,-44.16030534351145,5.363599101966206,1.0,4971.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11237.709442138672
901,native_learned_gate,supported_native_episode_loop,-17945.263,35.111,0.6382,-36.3874,66.0,0.7480916030534351,341.4838847164889,8.804630845253667,-44.091603053435115,5.556030190344652,0.23076923076923078,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14902.412438964844
971,native_learned_gate,supported_native_episode_loop,-8902.727,5.947,0.6336,-7.2142,66.0,0.7480916030534351,342.0837769489252,11.129258736599734,-43.656488549618324,6.511611463602717,0.0,4971.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11473.616247558593
981,native_learned_gate,supported_native_episode_loop,-12010.871,5.448,0.397,-6.242000000000001,66.0,0.7480916030534351,339.5817056071667,4.797333841425256,-44.17175572519084,5.330049837344309,1.0,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57728.5080078125
1221,native_learned_gate,supported_native_episode_loop,-2930.166,6.39,0.3663,-7.122599999999999,66.0,0.7480916030534351,341.50133048972407,5.606688088250821,-44.43511450381679,4.479979615277405,1.0,4971.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25826.135333251954
1251,native_learned_gate,supported_native_episode_loop,-11864.893,5.115,0.1855,-5.486000000000001,66.0,0.7480916030534351,333.86903863993615,6.68782614335293,-44.37022900763359,4.693298692743858,0.3846153846153846,4971.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84945.473046875
1401,native_learned_gate,supported_native_episode_loop,-2786.943,4.617,0.4471,-5.5112,66.0,0.7480916030534351,338.9302834682261,4.760059041269166,-44.412213740458014,4.552275211712267,0.0,4970.0,2.0,2.0,0.9820137900379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.56894245147706
241,native_wait_aware_replan,supported_native_episode_loop,-2802.632,8.528,0.478,-9.484,66.0,0.7480916030534351,325.5950183412197,7.275160482145602,-44.38931297709924,4.640631240103601,1.0,4970.0,1.0,1.0,0.9820137900379085,1.0,0.7606595627405593,0.6808794169874125,1.1033872637375213,0.0,0.9643852114677429,-2.0,2.0,1.0,2.000000476837158,2.2500009536743164,11355.117568969727
291,native_wait_aware_replan,supported_native_episode_loop,-11427.618,5.477,0.4933,-6.4636000000000005,66.0,0.7480916030534351,347.178278676957,5.076218474350289,-44.42748091603053,4.483269210578515,0.0,4971.0,1.0,1.0,0.9820137900379085,1.0,0.42241181028593733,0.2298824137145831,1.0412329631178123,0.3632259666919708,0.854769229888916,-1.8390593097166645,1.8390593097166645,1.0,1.999999761581421,2.1141719818115234,47699.26313476563
301,native_wait_aware_replan,supported_native_episode_loop,-3011.818,6.129,0.5404,-7.2097999999999995,66.0,0.7480916030534351,348.35030750232653,12.672000988338358,-25.366412213740457,22.9057831648465,0.5384615384615384,4971.0,1.0,1.0,0.9820137900379085,1.0,0.6136526081688469,0.48487014422512925,0.9997599787586181,0.0,0.7383989691734314,-2.0,2.0,1.0,1.9999993927776814,2.3942194133996964,3294.726982879639
361,native_wait_aware_replan,supported_native_episode_loop,-3024.825,5.679,0.3388,-6.3566,66.0,0.7480916030534351,334.6892871548505,4.609893850938475,-44.469465648854964,4.372561796136647,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.7741584777832
371,native_wait_aware_replan,supported_native_episode_loop,-2623.568,8.455,0.3905,-9.236,66.0,0.7480916030534351,344.94504975634067,6.650770188016575,-44.25190839694657,4.982172050697761,0.0,4970.0,1.0,1.0,0.9820137900379085,1.0,0.6579383101805115,0.5439177469073487,1.0632073249689213,0.0,0.7957915663719177,-2.0,2.0,1.0,1.999999761581421,2.135762929916382,4697.775322723389
411,native_wait_aware_replan,supported_native_episode_loop,-20610.988,16.503,0.412,-17.327,66.0,0.7480916030534351,337.16610270520204,9.491662015703891,-44.47709923664122,4.3682418229466045,0.23076923076923078,4970.0,1.0,1.0,0.9820137900379085,1.0,0.30911625761900785,0.0788216768253438,1.0641078035044427,0.75,1.0484541654586792,-0.6305734146027504,0.6305734146027504,1.0,2.0,2.0439858436584473,52786.755126953125
431,native_wait_aware_replan,supported_native_episode_loop,-9106.576,5.04,0.4311,-5.9022,66.0,0.7480916030534351,339.52588265147676,9.699268620014372,-44.50381679389313,4.240614325727498,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19080.18181152344
551,native_wait_aware_replan,supported_native_episode_loop,-2708.144,6.569,0.4923,-7.5536,66.0,0.7480916030534351,343.248824289388,6.50604340153168,-44.034351145038165,4.784154363723417,0.9732971731083759,4970.0,1.0,1.0,0.9820137900379085,1.0,0.6883562149184039,0.5844749532245386,1.0574335900741902,0.0,0.8291186690330505,-2.0,2.0,1.0,2.0,1.1223399639129639,9874.94962463379
561,native_wait_aware_replan,supported_native_episode_loop,-9312.926,4.891,0.3895,-5.67,66.0,0.7480916030534351,335.62767100766416,6.856030678179681,-44.465648854961835,4.372533476883643,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47704.93369140625
881,native_wait_aware_replan,supported_native_episode_loop,-2684.396,4.151,0.5459,-5.2428,66.0,0.7480916030534351,338.0672088840535,4.0210911105906435,-44.16030534351145,5.363599101966206,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11237.613836669922
901,native_wait_aware_replan,supported_native_episode_loop,-17963.226,34.977,0.5507,-36.078399999999995,66.0,0.7480916030534351,341.5540318622995,8.789930963930722,-44.091603053435115,5.556030190344652,0.23076923076923078,4970.0,1.0,1.0,0.9820137900379085,1.0,0.4374687472810037,0.24995832970800494,1.2032630968642946,0.6630623936653137,1.2464922666549683,-1.9996666376640402,1.9996666376640402,1.0,1.9999994039535522,1.0001658201217651,14957.490832519532
971,native_wait_aware_replan,supported_native_episode_loop,-9049.347,5.965,0.5663,-7.0976,66.0,0.7480916030534351,342.4039734961043,10.563811214040962,-43.656488549618324,6.511611463602717,0.0,4971.0,1.0,1.0,0.9820137900379085,1.0,0.5462469464701502,0.3949959286268669,1.0444101506781491,0.288544237613678,0.9069622755050659,-2.0,2.0,1.0,1.9999998807907104,1.3496702909469604,11628.417541503906
981,native_wait_aware_replan,supported_native_episode_loop,-11997.002,5.445,0.3971,-6.2392,66.0,0.7480916030534351,340.0262390558957,4.9458007802252775,-44.17175572519084,5.330049837344309,1.0,4970.0,1.0,1.0,0.9820137900379085,1.0,0.30592342044513937,0.07456456059351917,1.0687217812181862,0.36484596133232117,0.7128377556800842,-0.5965164847481521,0.5965164847481521,1.0,1.999999761581421,1.9254353046417236,57752.20927734375
1221,native_wait_aware_replan,supported_native_episode_loop,-2892.566,6.386,0.3663,-7.1186,66.0,0.7480916030534351,341.7249934783722,5.234490801420563,-44.43511450381679,4.479979615277405,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25797.22121582031
1251,native_wait_aware_replan,supported_native_episode_loop,-11930.187,5.112,0.1907,-5.4934,66.0,0.7480916030534351,334.49050519464885,6.886163758591977,-44.37022900763359,4.693298692743858,0.3846153846153846,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85590.47744140626
1401,native_wait_aware_replan,supported_native_episode_loop,-2778.479,4.617,0.4471,-5.5112,66.0,0.7480916030534351,339.49423266216905,5.3503255699609,-44.412213740458014,4.552275211712267,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.21443996429443
