ep,stage,wall_env_s,wall_train_s,avg_wait_min,peak_fleet,headway_cv,ep_reward,ep_cost,ep_steps,n_dispatches,lower_action_mean,lower_action_std,lower_action_min,lower_action_max,lower_reward_mean,lower_reward_std,lower_q_mean,lower_q_std,lower_q_loss,lower_q_mse,lower_ood_loss,lower_cost_q_mean,lower_cost_q_loss,lower_policy_loss,lower_pi_grad_norm,lower_q_grad_norm,lower_alpha,lower_lambda,lower_replay_size,upper_delta_mean,upper_delta_std,upper_delta_min,upper_delta_max,upper_reward_mean,upper_reward_std,upper_q_mean,upper_q_std,upper_q_loss,upper_q_mse,upper_ood_loss,upper_policy_loss,upper_pi_grad_norm,upper_q_grad_norm,upper_alpha,upper_replay_size,hold_fb_mean,hold_fb_std,hold_fb_n_trips,hold_fb_dir0_mean,hold_fb_dir1_mean,hold_penalty_mean,theta_wait,theta_fleet,theta_cv,surprise,belief_window,belief_cp_prob,belief_entropy
39,BiLevel,6.4,0.9,3.541,12,0.3143,-2450.35,872.543,4970,262,-28.85,27.12,-59.68,58.69,-0.493,0.3255,-11.143166542053223,1.1616266965866089,19.91352081298828,11.153349876403809,0.9885812997817993,0.945550799369812,1.226121425628662,14.50135612487793,2.565898895263672,2968.9931640625,0.1,1.0523698329925537,198805,0.1,25.49,-69.15,79.25,-0.6684,0.5,-0.8588229417800903,0.16275903582572937,9.227758407592773,0.6360776424407959,0.16406676173210144,1.2307077646255493,0.9125831127166748,2.8854095935821533,0.05,2620,-28.846583182175813,27.119267133620152,262,-30.39117787637208,-25.992123506884827,0.5924026923712765,0.7713604013169945,0.1184368687787177,0.11020272990428785,0.2115,10.03,0.0521,2.985
40,BiLevel,6.3,0.9,4.494,12,0.3902,-2506.713,893.701,4970,262,-27.01,26.83,-59.59,57.95,-0.5044,0.3324,-10.407333374023438,0.984930694103241,19.89010238647461,11.171266555786133,0.9775468707084656,1.0560619831085205,0.4651630222797394,13.51987361907959,3.638188600540161,3516.1357421875,0.1,1.0563676357269287,203775,-2.68,24.37,-80.23,79.02,-0.8396,0.5,-0.9046456813812256,0.13825517892837524,8.788156509399414,0.3229377865791321,0.1480008214712143,1.227482557296753,1.1468156576156616,2.34516978263855,0.05,2882,-27.00822737787436,26.832998857883986,262,-26.589824715727254,-28.21029706377732,0.5686714587413836,0.7722494140390924,0.1177290704388896,0.11002151552201793,0.2736,10.37,0.0525,2.977
41,BiLevel,6.5,0.8,7.379,12,0.5131,-2405.553,879.712,4970,262,-25.57,27.39,-59.49,55.71,-0.484,0.3393,-9.614394187927246,1.1107076406478882,18.437118530273438,9.738496780395508,1.144994854927063,0.6719118356704712,0.6374353766441345,12.580058097839355,0.9054886698722839,2163.431640625,0.1,1.060438632965088,208745,1.02,23.64,-72.77,67.23,-1.251,0.5,-0.9944693446159363,0.16385802626609802,8.783283233642578,0.44127169251441956,0.1648690104484558,1.3730133771896362,0.6578921675682068,7.319214344024658,0.05,3144,-25.574562963579876,27.394274153992292,262,-21.968969365954397,-22.99265649381437,0.5620648278547918,0.7737980309791073,0.11660878949212312,0.10959317952876951,0.2846,10.66,0.0529,2.966
42,BiLevel,6.7,0.8,4.394,12,0.5083,-2347.43,797.531,4971,262,-27.69,29.21,-59.93,56.81,-0.4722,0.3199,-10.108856201171875,1.2746021747589111,20.596160888671875,11.92292308807373,1.1378540992736816,1.0248279571533203,0.9182765483856201,13.770370483398438,4.5246663093566895,3191.32421875,0.1,1.0644497871398926,213716,0.61,20.32,-50.13,72.04,-0.9477,0.5,-0.9789132475852966,0.16717039048671722,8.602777481079102,0.38218843936920166,0.15136422216892242,1.365968942642212,0.5170729756355286,6.147128105163574,0.05,3406,-27.693983744833265,29.2058740226938,262,-24.810954274001876,-28.95868671442333,0.6068839098234055,0.7745175620297253,0.11592400049558722,0.10955843747468735,0.3113,10.97,0.0532,2.951
43,BiLevel,10.7,0.9,3.833,12,0.5111,-2357.457,833.303,4970,262,-27.56,28.56,-59.92,55.86,-0.4743,0.3267,-10.420906066894531,0.7260181903839111,11.962569236755371,3.354544162750244,0.734257698059082,1.084125280380249,0.2950170338153839,13.053199768066406,2.507967472076416,536.4971923828125,0.1,1.0685760974884033,218686,-0.68,20.76,-48.93,54.31,-0.8945,0.5,-0.955371618270874,0.15584532916545868,8.663854598999023,0.5617117285728455,0.15245163440704346,1.3251093626022339,0.7517737746238708,3.0438685417175293,0.05,3668,-27.56216228363672,28.56276773584291,262,-23.15266076577337,-32.225501258436005,0.6000508722431387,0.7750731913957745,0.11532668886013339,0.10960011974409216,0.3191,11.25,0.0536,2.934
44,BiLevel,6.5,0.9,4.379,12,0.5561,-2360.058,821.483,4970,262,-25.97,27.35,-59.58,58.22,-0.4749,0.322,-10.146642684936523,0.785722553730011,19.788780212402344,11.213796615600586,0.7326126098632812,1.1637474298477173,0.30607882142066956,13.008705139160156,5.581571578979492,603.374267578125,0.1,1.0727057456970215,223656,1.25,16.06,-37.0,49.47,-0.9941,0.5,-1.0379037857055664,0.14865154027938843,8.2881441116333,0.3025414049625397,0.1523863673210144,1.3932721614837646,0.6123937964439392,2.076935291290283,0.05,3930,-25.97081845404329,27.348538623546816,262,-21.101317161047145,-23.861434430825085,0.5632401801283439,0.7757227841529882,0.11465923507752047,0.1096179807694912,0.3525,11.56,0.0541,2.912
45,BiLevel,6.5,1.0,5.43,12,0.5614,-2334.125,804.725,4971,262,-27.17,28.22,-59.7,58.35,-0.4695,0.321,-11.29358959197998,0.9910580515861511,40.49515914916992,31.917713165283203,1.0156100988388062,1.0068907737731934,1.133585810661316,14.385942459106445,2.5291333198547363,12727.7138671875,0.1,1.0767922401428223,228627,3.24,16.49,-50.91,53.89,-1.1045,0.5,-1.0455758571624756,0.15509003400802612,8.126058578491211,0.2554689049720764,0.1406654417514801,1.419363021850586,1.366119146347046,1.1745202541351318,0.05,4192,-27.168522721881526,28.21506846393696,262,-19.138924628613815,-22.117434292561132,0.5924059859352051,0.7766298031109772,0.11386277738692849,0.10950741950209437,0.3483,11.76,0.0548,2.893
46,BiLevel,6.5,0.9,4.372,12,0.5135,-2472.946,864.137,4971,262,-23.09,29.01,-59.62,57.35,-0.4975,0.3289,-9.922663688659668,0.8603167533874512,14.534486770629883,6.005465507507324,0.7860950827598572,0.967553973197937,0.454872190952301,12.725287437438965,3.5261335372924805,900.4366455078125,0.1,1.0809727907180786,233598,3.19,15.91,-35.61,47.69,-0.9507,0.5,-1.059308648109436,0.16663947701454163,8.233190536499023,0.4756593108177185,0.14114879071712494,1.4634203910827637,0.6226274967193604,1.4316823482513428,0.05,4454,-23.08528852693173,29.00519024967372,262,-15.0369633182099,-28.094663518980934,0.5525421031556654,0.7772940935994661,0.11322325724950313,0.10948264915103077,0.3222,11.83,0.0553,2.882
47,BiLevel,6.6,0.8,3.756,12,0.5664,-2372.657,821.456,4970,262,-30.62,26.07,-59.93,57.22,-0.4774,0.325,-10.534468650817871,1.318076729774475,27.199668884277344,18.62377166748047,1.512364387512207,0.9533392786979675,1.244551181793213,14.228819847106934,4.462777614593506,5511.6708984375,0.1,1.0851898193359375,238568,0.85,13.47,-40.19,33.67,-0.942,0.5,-1.1277121305465698,0.16721530258655548,8.236649513244629,0.5887563824653625,0.14600448310375214,1.5358028411865234,1.5670303106307983,3.2124788761138916,0.05,4716,-30.618822702811563,26.072776869950232,262,-22.265529313840364,-30.30300300646769,0.6075862406304697,0.7777454272739937,0.11266579580640175,0.10958877691960468,0.3033,11.79,0.0557,2.879
48,BiLevel,9.5,0.9,5.21,12,0.439,-2403.401,834.493,4971,262,-26.96,27.47,-59.6,58.32,-0.4835,0.323,-10.146842956542969,1.193645715713501,28.984840393066406,20.45811653137207,1.2920622825622559,1.4981300830841064,0.7219753265380859,14.177617073059082,7.145844459533691,7875.970703125,0.1,1.0894370079040527,243539,5.44,13.84,-34.27,43.19,-0.96,0.5,-1.1536976099014282,0.1551770567893982,7.84292459487915,0.30134454369544983,0.14423272013664246,1.5446791648864746,0.3103307783603668,4.721639156341553,0.05,4978,-26.9598786224038,27.469580839051286,262,-27.425618814500535,-25.745979954537592,0.5775353947451874,0.7786652034490464,0.11194890300414649,0.10938589354680717,0.372,11.96,0.056,2.865
49,BiLevel,6.6,0.9,5.937,12,0.4885,-2539.103,920.974,4971,262,-23.11,28.1,-59.64,54.82,-0.5108,0.3396,-10.842741966247559,0.7150726318359375,15.061769485473633,6.599800109863281,0.8962444067001343,1.5074198246002197,0.5029585361480713,13.945878028869629,1.5316882133483887,667.2789916992188,0.1,1.0936508178710938,248510,2.38,13.35,-34.71,37.46,-1.0822,0.5,-1.1878783702850342,0.1482742428779602,7.749553203582764,0.313629150390625,0.14423954486846924,1.5630457401275635,0.4897574484348297,3.229794502258301,0.05,5240,-23.110779468349705,28.09891871119085,262,-20.350458052911257,-22.086146126922806,0.5403110505149118,0.7797064223179853,0.11114671143053237,0.10914686625148241,0.2887,11.84,0.0561,2.868
50,BiLevel,6.7,0.9,4.847,12,0.4534,-2326.208,815.463,4970,262,-21.0,27.23,-59.37,57.47,-0.468,0.3299,-10.666936874389648,0.726024329662323,11.086811065673828,2.6679298877716064,0.7375180721282959,1.4584887027740479,0.4175788164138794,13.757877349853516,2.629368543624878,334.2842102050781,0.1,1.0978939533233643,253480,0.81,12.47,-35.82,42.95,-0.9381,0.5,-1.2346047163009644,0.14033143222332,7.582370758056641,0.24918314814567566,0.1447581946849823,1.5958948135375977,0.3488151729106903,2.955338954925537,0.05,5502,-20.998013555963844,27.225202418226523,262,-15.381365004966133,-19.677228607315765,0.5085453902935271,0.7804970729127199,0.1104946225672844,0.10900830451999592,0.3224,11.8,0.0564,2.869
51,BiLevel,6.6,1.1,4.148,12,0.5094,-2425.788,867.824,4970,262,-26.27,28.08,-59.64,55.86,-0.4881,0.3278,-11.367195129394531,1.2366257905960083,16.673282623291016,8.26089096069336,0.9390311241149902,1.6140879392623901,0.8930485844612122,15.632518768310547,2.4918432235717773,2850.591796875,0.1,1.1022026538848877,258450,1.39,13.57,-40.91,40.9,-0.9242,0.5,-1.252532958984375,0.1276332139968872,7.43248176574707,0.20119328796863556,0.12740075588226318,1.582728385925293,1.0850611925125122,1.5527085065841675,0.05,5764,-26.274996957748048,28.07548044050823,262,-20.546233847031466,-26.450857587237106,0.5777823328667427,0.7810602725972782,0.10992959499752238,0.10901013240519936,0.2619,11.57,0.0564,2.881
52,BiLevel,9.4,0.9,5.778,12,0.5211,-2448.861,876.861,4970,262,-20.47,28.45,-59.41,59.76,-0.4927,0.3475,-10.71481704711914,0.8749872446060181,27.51495361328125,19.110767364501953,1.0451260805130005,1.145488977432251,0.9338527321815491,13.784503936767578,3.5157690048217773,6822.03759765625,0.1,1.1064698696136475,263420,0.75,13.51,-35.71,32.61,-1.0989,0.5,-1.3075138330459595,0.12987832725048065,7.379132270812988,0.24818916618824005,0.1185971051454544,1.6419446468353271,0.30774787068367004,2.2437872886657715,0.05,6026,-20.47282825742269,28.44733329995624,262,-22.998226697978218,-19.408960594570164,0.5173331083875824,0.7819922621073834,0.1091774286692491,0.10883030922336745,0.3943,11.74,0.0568,2.877
53,BiLevel,6.6,1.0,4.761,12,0.6086,-2469.868,869.351,4971,262,-29.06,28.23,-59.78,57.46,-0.4969,0.3207,-11.273727416992188,0.69498610496521,15.989547729492188,7.635566711425781,0.7643484473228455,1.5425206422805786,0.5655948519706726,14.41709041595459,1.8111997842788696,592.24462890625,0.1,1.1107251644134521,268391,-1.48,11.92,-34.93,38.15,-1.0846,0.5,-1.3162293434143066,0.126593217253685,7.409671306610107,0.37641441822052,0.11938300728797913,1.6509921550750732,0.9838873147964478,4.03193998336792,0.05,6288,-29.060387383007356,28.23481207077493,262,-23.51651088195412,-28.534504870697862,0.6150220660238579,0.7825982685509377,0.10854529848624711,0.10885643296281512,0.3637,11.72,0.0572,2.881
54,BiLevel,6.6,1.1,5.281,12,0.5841,-2725.289,1032.556,4970,262,-29.13,28.58,-59.75,58.78,-0.5483,0.3475,-11.277406692504883,1.0290501117706299,37.80670166015625,29.4398250579834,1.174338698387146,1.272854208946228,1.6963547468185425,14.778600692749023,2.3126885890960693,10040.7841796875,0.1,1.1150529384613037,273361,-1.63,11.62,-32.72,31.13,-1.1122,0.5,-1.3849992752075195,0.12252525240182877,7.154691696166992,0.21594321727752686,0.12267732620239258,1.7060418128967285,0.25708794593811035,0.9689202904701233,0.05,6550,-29.132643750127052,28.581010248275465,262,-22.89118921443036,-22.72227077805682,0.6213021675280742,0.7833365917467348,0.10786498173455965,0.10879842651870544,0.4423,11.96,0.0573,2.867
55,BiLevel,6.5,0.9,6.802,12,0.4954,-2585.877,962.077,4970,262,-24.15,28.86,-59.87,57.74,-0.5203,0.3418,-11.36844539642334,0.8317328691482544,15.138877868652344,6.8371901512146,0.7496345043182373,1.617866039276123,0.4967100918292999,14.85680103302002,1.7255661487579346,814.1563110351562,0.1,1.1193633079528809,278331,-0.47,11.93,-40.91,37.18,-1.1756,0.5,-1.3848302364349365,0.11578027904033661,7.140921592712402,0.29607415199279785,0.11474206298589706,1.701849341392517,0.7114731669425964,1.8638761043548584,0.05,6812,-24.14546840195385,28.859327656200254,262,-22.751091521507817,-26.80324232229277,0.5613484112928309,0.7844855891124922,0.1070319176201474,0.10848249326736036,0.4538,12.23,0.0571,2.842
56,BiLevel,9.7,0.9,9.279,12,0.3057,-2506.003,913.031,4970,262,-22.71,29.03,-59.58,59.08,-0.5042,0.3465,-10.969417572021484,0.6919028759002686,11.863199234008789,3.5873756408691406,0.7808300852775574,1.5927106142044067,0.4888055920600891,14.162269592285156,3.3690361976623535,664.5278930664062,0.1,1.1236062049865723,283301,-0.48,11.14,-34.97,28.49,-1.2336,0.5,-1.396314024925232,0.12346968054771423,6.998036861419678,0.24476882815361023,0.10928134620189667,1.7259902954101562,2.8403329849243164,2.1272964477539062,0.05,7074,-22.709267477750014,29.032433903418514,262,-17.25654685144362,-31.546855841184914,0.5515751485283139,0.7863297828958652,0.10595694177769409,0.10771327532644083,0.3752,12.17,0.0575,2.842
57,BiLevel,6.8,1.0,7.343,12,0.62,-2368.5,810.65,4970,262,-20.85,29.52,-59.79,59.27,-0.4766,0.3219,-11.309582710266113,0.9312748312950134,17.85065460205078,9.592974662780762,0.923804759979248,1.8112167119979858,1.6374173164367676,15.249004364013672,2.4738352298736572,1876.164306640625,0.1,1.127921462059021,288271,-2.23,12.53,-35.71,32.87,-1.3543,0.5,-1.5048341751098633,0.11689791083335876,7.020782947540283,0.3565189242362976,0.12974461913108826,1.8116295337677002,0.1888171285390854,2.995142936706543,0.05,7336,-20.85189967754951,29.521562183440867,262,-21.925671605687395,-23.161065668495077,0.5358451924538638,0.7874572900908089,0.10507723720358952,0.10746547270560172,0.382,12.1,0.0579,2.848
58,BiLevel,6.8,1.1,5.862,12,0.5443,-2354.161,830.541,4971,262,-22.77,29.13,-59.49,59.08,-0.4736,0.329,-11.449764251708984,0.8334580659866333,18.689937591552734,10.468152046203613,0.8360437154769897,1.7859898805618286,0.688707172870636,15.179549217224121,4.055783271789551,956.5758666992188,0.1,1.1321852207183838,293242,-3.97,12.11,-37.32,32.03,-1.1305,0.5,-1.575554370880127,0.11523858457803726,6.915286540985107,0.3381308913230896,0.12006630003452301,1.888030767440796,0.1689077615737915,1.0429506301879883,0.05,7598,-22.771444092903927,29.13415846617053,262,-20.96637577383142,-28.48987715385462,0.5558734679138416,0.7883046820099028,0.1043793126332071,0.10731600535689012,0.3929,12.13,0.0575,2.846
59,BiLevel,6.6,1.1,5.956,12,0.4478,-2504.803,898.143,4970,262,-26.7,29.59,-59.92,58.85,-0.504,0.3424,-11.790724754333496,0.6900056600570679,13.052451133728027,4.866410255432129,0.752905547618866,1.6717510223388672,2.0757369995117188,15.098441123962402,1.9769912958145142,1139.5050048828125,0.1,1.1364656686782837,298212,-4.26,12.11,-36.94,28.84,-1.0434,0.5,-1.5778768062591553,0.10953807085752487,6.794717311859131,0.30244579911231995,0.12097515910863876,1.8716518878936768,2.6063649654388428,2.8450491428375244,0.05,7860,-26.698959082448237,29.587657937033445,262,-16.46725028843472,-28.953749767730113,0.6026539583134939,0.7892387878345342,0.10369151412792053,0.1070696980375452,0.3066,11.98,0.0567,2.852
