baseline,seed,total_return,mean_reward,base_mean_reward,leakage_reward_penalty,leakage_reward_penalty_total,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,recovery_cost_120,promotion_count,promotion_delay,PromotionDelay,ShockResponseTime,regime_promotion_accuracy,regime_promotion_precision,regime_promotion_recall,UpperHFPower,LowerLFDrift,FocusScore,freq_attr_n,freq_attr_high_component_pnl,freq_attr_high_component_pnl_total,freq_attr_high_frequency_cost,freq_attr_high_frequency_cost_total,freq_attr_leakage_cost,freq_attr_leakage_cost_total,freq_attr_low_component_pnl,freq_attr_low_component_pnl_total,freq_attr_low_frequency_cost,freq_attr_low_frequency_cost_total,freq_attr_lower_credit,freq_attr_lower_credit_total,freq_attr_promotion_adaptation_cost,freq_attr_promotion_adaptation_cost_total,freq_attr_task_reward,freq_attr_task_reward_total,freq_attr_upper_credit,freq_attr_upper_credit_total,scenario
vanilla_rl,2026,-0.845766225088281,-0.0026234417236185663,-0.0026005885011359626,2.285322248260413e-05,0.016454320187474974,-52.82041991709377,-53.588938466068704,0.845285845554081,-1.000568304244921,336.2283399221051,2.01737003953263,0.004297516682742515,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.4455234969862841,0.008149823459683956,-0.013176500703031991,720.0,6.054450445740187e-06,0.004359204320932935,0.0029647991574031393,2.1346553933302603,2.285322248260413e-05,0.016454320187474974,0.00020385491446799113,0.14677553841695362,4.022434730721774e-06,0.0028961530061196775,-0.002976225768644441,-2.1428825534239975,0.0,0.0,-0.0026005885011359626,-1.872423720817893,-1.5449045972023836e-05,-0.011123313099857163,localized_burst
hrl_raw,2026,-0.6769243845881527,-0.001622124350771129,-0.0015987231686313374,2.3401182139791403e-05,0.01684885114064981,-47.9480013684861,-50.347385084217564,0.676254241911046,-1.0009909626225972,213.1475758711291,1.2788854552267745,0.015538500185568401,0.0,0.0,0.0,0,-1.0,-1.0,0.0,0.5,0.0,0.0,0.4455234969862841,0.013675548491763683,-0.019755244239495554,720.0,5.288221675896306e-06,0.0038075196066453404,0.0019476811952269407,1.4023304605633973,2.3401182139791403e-05,0.01684885114064981,0.00020329540898997897,0.14637269447278486,1.915567604266183e-06,0.0013792086750716518,-0.0019593817862968363,-1.4107548861337222,0.0,0.0,-0.0015987231686313374,-1.1510806814145629,-1.3616158674161888e-05,-0.00980363424539656,localized_burst
raw_history,2026,-0.01394223343440859,-4.3893054890310736e-05,-2.038202697373099e-05,2.3511027916579742e-05,0.016927940099937415,-1.224169294669056,-1.7654794675368777,0.02864216973375966,-0.4867729492565398,28.537852499827064,0.17122711499896237,0.0004861289091110326,0.0,0.0,0.0,0,-1.0,-1.0,0.6324786324786325,0.5,0.0,0.0,0.0248695411533845,0.38548569277915773,0.11195133425419634,720.0,-3.826460651084704e-06,-0.002755051668780987,0.0003868553850594932,0.27853587724283513,2.3511027916579742e-05,0.016927940099937415,0.0002222321289941346,0.16000713287577692,3.7161024985004207e-07,0.00026755937989203027,-0.00039861089901778305,-0.2869998472928038,0.0,0.0,-2.038202697373099e-05,-0.014675059421086314,-1.2127124208139915e-05,-0.008731529429860739,localized_burst
freq_single_policy,2026,-0.2290491322430045,-0.0003764318772986637,-0.0003626651089748269,1.3766768323836868e-05,0.009912073193162545,-18.159061336183854,-24.644123473037446,0.22680517904831576,-1.0098937475947616,73.37630365197427,0.4402578219118456,0.0007901102872327358,0.0,0.0,0.0,0,-1.0,-1.0,0.09401709401709402,0.5,0.0,0.0,0.0862158445873575,0.12160774999011315,-0.22589576203484416,720.0,-1.13435081207634e-06,-0.0008167325846949649,0.000773699276779316,0.5570634792811076,1.3766768323836868e-05,0.009912073193162545,0.0002515186595115004,0.1810934348482803,7.383213777044456e-07,0.0005315913919472008,-0.0007805826609412343,-0.5620195158776887,0.0,0.0,-0.0003626651089748269,-0.26111887846187537,-7.62170553962288e-06,-0.005487627988528474,localized_burst
lf_upper_only,2026,0.01803407904590748,-7.118624407800674e-05,2.4787141575079573e-05,9.597338565308633e-05,0.06910083767022215,2.363627565926505,3.3541229177037337,0.014088132621101868,1.280090096461414,5.683879292041756,0.03410327575225054,3.8582691279115145e-05,0.0,0.0,0.0,0,-1.0,-1.0,36.04,0.5,0.0,0.0,0.0016823845489376853,1.822202740534579,1.049341423525355,720.0,7.443832929516703e-06,0.005359559709252026,0.00013227794038790324,0.09524011707929034,9.597338565308633e-05,0.06910083767022215,6.478613479513573e-05,0.046646017052497726,1.7333961926788188e-05,0.012480452587287494,-0.0001802646332144464,-0.1297905359144014,0.0,0.0,2.4787141575079573e-05,0.017846741934057293,-6.532065475333135e-05,-0.04703087142239857,localized_burst
hf_lower_only,2026,-0.01967357295930494,-7.464429248109335e-05,-3.4124027926888714e-05,4.052026455420463e-05,0.029174590479027335,-8.098142489901356,-11.585856553583195,0.019694777182116763,-0.9989233580753035,7.753096635314466,0.0465185798118868,0.0032659093777483686,0.0,0.0,0.0,0,-1.0,-1.0,14.974358974358974,0.5,0.0,0.0,0.0,0.8534185895897528,0.03020456424456975,720.0,-2.424295672020321e-06,-0.001745492883854631,0.00010306061966107974,0.07420364615597741,4.052026455420463e-05,0.029174590479027335,3.9441225128248906e-05,0.02839768209233921,0.0,0.0,-0.00012332075193818203,-0.08879094139549107,0.0,0.0,-3.4124027926888714e-05,-0.024569300107359873,-2.0260132277102316e-05,-0.014587295239513668,localized_burst
allfreq_alllayers,2026,-0.24879025378817066,-0.00041868503620402363,-0.0003983223767965487,2.0174756196056948e-05,0.014525824461161001,-19.038277250847123,-25.33174753536484,0.24663376057227004,-1.0087437065018872,77.48193597723673,0.46489161586342037,0.0006190061117662782,0.0,0.0,0.0,188,-1.0,-1.0,0.08547008547008547,0.36944444444444446,0.0,0.0,0.09141237509510153,0.23906041642328904,-0.16894969083136271,720.0,5.229252670720807e-07,0.0003765061922918981,0.0008063402728948315,0.5805649964842787,2.0174756196056948e-05,0.014525824461161001,0.0002480755099702179,0.1786143671785569,7.870477423452126e-07,0.0005666743744885531,-0.0008164276509928599,-0.5878279087148591,1.8790321141799137e-07,0.00013529031222095378,-0.0003983223767965487,-0.28679211129351506,-1.1062329051791677e-05,-0.007964876917290007,localized_burst
swapped,2026,-0.15561502341829414,-0.00025864582084763444,-0.00024095027067262803,1.7507646963588432e-05,0.012605505813783672,-14.864869333092877,-21.441587184858072,0.15561502341829414,-1.0,45.15387313957993,0.2709232388374796,0.0030708306252928298,0.0,0.0,0.0,188,-1.0,-1.0,0.07692307692307693,0.36944444444444446,0.0,0.0,0.0807239818139182,0.23501502325361281,-0.48509249737491483,720.0,-1.1774809043554628e-05,-0.008477862511359333,0.0005256940865247024,0.3784997422977857,1.7507646963588432e-05,0.012605505813783672,0.00015324847578467835,0.11033890256496841,6.632852831200283e-06,0.004775654038464204,-0.0005344479100064967,-0.3848024952046776,1.8790321141799137e-07,0.00013529031222095378,-0.00024095027067262803,-0.17348419488429218,-1.557457952441249e-05,-0.011213697257576993,localized_burst
no_promotion,2026,0.017183126966867412,-7.258728291598731e-05,2.366515483079934e-05,9.625243774678665e-05,0.06930175517768639,2.2221674564848253,3.0263171351220013,0.014310877170572445,1.2007039653866358,5.917300997964077,0.03550380598778446,1.941278557697368e-05,0.0,0.0,0.0,0,-1.0,-1.0,36.0,0.5,0.0,0.0,0.0016823845489376853,1.880871930942442,0.9763773496185227,720.0,7.449740571041518e-06,0.005363813211149893,0.0001342096581409057,0.0966309538614521,9.625243774678665e-05,0.06930175517768639,6.556508148061239e-05,0.04720685866604092,1.6995355062980396e-05,0.012236655645345885,-0.00018233587701429901,-0.1312818314502953,0.0,0.0,2.366515483079934e-05,0.017038911478175524,-6.512157393637372e-05,-0.04688753323418908,localized_burst
no_leakage,2026,0.013154946984776483,1.6104803625884083e-05,1.6292706837302074e-05,0.0,0.0,1.4048330200656431,2.3253678603960752,0.022638257330740208,0.5810936236206461,11.501654870930501,0.06900992922558302,0.0009597909701434972,0.0,0.0,0.0,188,-1.0,-1.0,3.965811965811966,0.36944444444444446,0.0,0.0,0.0034873046710583422,0.9285282565011447,0.857616226040558,720.0,9.938127378570501e-06,0.007155451712570761,0.00019795387705096357,0.14252679147669378,0.0,0.0,0.00010412128532343941,0.07496732543287637,1.183284075534865e-05,0.008519645343851029,-0.00019795387705096357,-0.14252679147669378,1.8790321141799137e-07,0.00013529031222095378,1.6292706837302074e-05,0.011730748922857494,-1.2020743966766642e-05,-0.008654935656071982,localized_burst
