train_seed,eval_seed,learned_config,baseline_config,baseline_method,delta_service_cost_restricted,delta_service_cost_observed,delta_restricted_wait_horizon_min,delta_avg_wait_observed_min,delta_restricted_in_vehicle_horizon_min,delta_avg_in_vehicle_observed_min,delta_restricted_total_journey_horizon_min,delta_avg_total_journey_observed_min,delta_holding_vehicle_seconds,delta_holding_passenger_seconds,delta_fleet_denied_dispatch_events,delta_fleet_denied_trips,delta_fleet_readiness_delay_mean_s,delta_fleet_readiness_delay_max_s,delta_passenger_unserved_rate,delta_headway_cv,delta_fleet_overshoot,delta_trip_launch_rate,delta_trip_completion_rate,delta_holding_vehicle_seconds_per_launched_trip,delta_holding_passenger_min_per_generated,delta_fleet_denied_trip_rate,delta_fleet_denied_retry_trip_seconds,delta_commanded_holding_vehicle_seconds,delta_commanded_holding_passenger_seconds,delta_commanded_holding_passenger_min_per_generated,delta_terminal_actual_dispatch_gap_mean_s,delta_terminal_dispatch_execution_error_mean_s,delta_terminal_dispatch_execution_error_abs_mean_s
12037,45077,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-1.3055897441693212,-1.3055897441693212,-12.921409637686029,-12.921409637686029,-0.9321000173889029,-0.9321000173889029,-13.853947655074844,-13.853947655074933,-32957.0,-833594.0,65482.0,170.0,249.9312978091603,402.0,0.0,-0.013386780400718001,0.0,0.0,0.0,-125.79007665648857,-0.766946251265066,0.6488546870229008,65482.0,-32957.0,-833594.0,-0.766946251265066,-79.03846184615384,5.192307384615384,22.953791692307693
12037,45119,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-3.1399536642731944,-3.341736177053204,-32.10426658803752,-34.1223417158376,-1.2798582132711367,-1.1908211934825363,-33.3845128013088,-35.31329890932013,-38755.0,-1313151.0,106976.0,162.0,408.305343870229,1105.0,0.0075356047367005005,0.0328419708470537,0.0,0.0,0.0,-147.91984731297708,-0.9816926208247359,0.6183206030534352,106976.0,-38755.0,-1313151.0,-0.9816926208247359,-76.1500000769231,8.080769153846154,27.52466853846154
12037,45131,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-1.8029591318672562,-1.8029591318672562,-18.422438197192093,-18.422438197192093,-0.8967995645741276,-0.8967995645741276,-19.31959276176624,-19.319592761766227,-31410.0,-884065.0,136007.0,168.0,519.1106867022901,1097.0,0.0,0.03927468785195312,0.0,0.0,0.0,-119.88549611450384,-0.7569310657899244,0.6412209541984732,136007.0,-31410.0,-884065.0,-0.7569310657899244,-73.41538415384605,10.815385076923077,30.69931269230769
12037,45137,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-3.0381384515385776,-3.0381384515385776,-30.507941960585793,-30.507941960585793,-1.0949219485382446,-1.0949219485382446,-31.6028249091242,-31.60282490912403,-36316.0,-1106980.0,125380.0,158.0,478.54961843511444,950.0,0.0,0.01268674452000168,0.0,0.0,0.0,-138.61068701526722,-0.9105998014905483,0.6030536030534352,125380.0,-36316.0,-1106980.0,-0.9105998014905483,-75.95769223076923,8.273077,21.222453615384616
12049,45007,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-2.925438735762926,-2.925438735762926,-29.232204912574893,-29.232204912574893,-0.969514749983583,-0.969514749983583,-30.202078662558375,-30.20207866255848,-30227.0,-953154.0,147894.0,158.0,564.4809162290077,1366.0,0.0,-0.0021362445054362023,0.0,0.0,0.0,-115.37022939694657,-0.7822482738493863,0.6030534274809161,147894.0,-30227.0,-953154.0,-0.7822482738493863,-72.1769232307692,12.053846,27.61912123076923
12049,45013,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-2.431298425953072,-2.431298425953072,-24.272287422211424,-24.272287422211424,-0.8989720542692368,-0.8989720542692368,-25.17120447648059,-25.17120447648066,-32320.0,-925317.0,162389.0,158.0,619.8053439694656,1249.0,0.0,-0.004044683731929094,0.0,0.0,0.0,-123.3587789312977,-0.7517398663579493,0.6030534274809161,162389.0,-32320.0,-925317.0,-0.7517398663579493,-71.9730772307692,12.257692,22.738813923076922
12049,45053,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-3.365665954346539,-3.365665954346539,-33.44202604062128,-33.44202604062128,-1.1101288021621958,-1.1101288021621958,-34.55204484278365,-34.55204484278346,-34799.0,-1140954.0,126643.0,155.0,483.3702286793893,1258.0,0.0,-0.021466350284411295,0.0,0.0,0.0,-132.8206105267176,-0.8886766664485781,0.5916034274809161,126643.0,-34799.0,-1140954.0,-0.8886766664485781,-73.76538430769233,10.465384923076924,20.79092484615384
12049,45061,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-2.4206876630103134,-2.4206876630103134,-24.31181288420056,-24.31181288420056,-0.9026878112467962,-0.9026878112467962,-25.214775695447464,-25.21477569544735,-28245.0,-834376.0,140136.0,166.0,534.8702286412214,1356.0,0.0,0.010485625409742405,0.0,0.0,0.0,-107.80534390076332,-0.6988427333199325,0.6335879847328245,140136.0,-28245.0,-834376.0,-0.6988427333199325,-71.91538423076923,12.315385,24.231049923076917
12049,45077,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-1.2773327441693212,-1.2773327441693212,-12.668409637686029,-12.668409637686029,-0.7972970173889031,-0.7972970173889031,-13.465852655074844,-13.465852655074933,-25522.0,-703299.0,134836.0,179.0,514.6412218091602,979.0,0.0,-0.010486780400718015,0.0,0.0,0.0,-97.41221365648857,-0.6470682512650661,0.6832056870229009,134836.0,-25522.0,-703299.0,-0.6470682512650661,-75.21538484615382,9.015384384615384,27.392303692307696
12049,45119,F_freqduet_protocol_v6_confirmed_main_hiro,F_freqduet_protocol_v6_confirmed_main_hiro,rule_mpc,-2.9446716642731943,-3.126422177053204,-30.33026658803752,-32.1473417158376,-1.0598102132711364,-0.9797011934825353,-31.389861801308804,-33.12726090932013,-30345.0,-1073506.0,182158.0,164.0,695.259541870229,1829.0,0.0066386047367005,0.05514197084705372,0.0,0.0,0.0,-115.82061031297707,-0.8025376208247359,0.6259546030534351,182158.0,-30345.0,-1073506.0,-0.8025376208247359,-70.4423080769231,13.788461153846153,32.11233553846154
