full_variant_id,comparator_variant_id,analysis_scope,hypothesis_role,scenarios,metric,higher_is_better,raw_full_minus_comparator_mean,directional_improvement_mean,directional_ci95_low,directional_ci95_high,paired_effect_size_dz,p_value_raw,bootstrap_draws,randomization_draws,independent_training_replicates,heldout_paths_per_replicate,scenario_count,inferential_unit,path_seed_role,multiplicity_family,p_value_holm,claim_status
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:ood_period,secondary_baseline,ood_period,total_return,True,0.014311758003589414,0.014311758003589414,0.010486002783410142,0.01831964876402204,1.4314238533021226,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:total_return,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:ood_period,secondary_baseline,ood_period,sharpe,True,45.98369610688292,45.98369610688292,33.81778220180646,58.631636174306884,1.44105463243239,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:sharpe,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:ood_period,secondary_baseline,ood_period,max_drawdown,False,-0.009161456969174296,0.009161456969174296,0.008035099274002859,0.010341363229901746,3.1351835588765566,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:max_drawdown,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:ood_period,secondary_baseline,ood_period,turnover,False,-0.19431168999054982,0.19431168999054982,-0.03969008045855106,0.43655971009755584,0.3165135377846065,0.1351372972540549,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:turnover,1.0,inconclusive
freq_hrl_full_v7,flat_ppo_matched_v7,scenario:ood_period,secondary_baseline,ood_period,LowerLFDriftAbs,False,-0.004650756037980878,0.004650756037980878,0.004177038753414679,0.005099672200242858,3.9431519178262815,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:LowerLFDriftAbs,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_gru_ppo_matched_v7,scenario:persistent_shift,secondary_baseline,persistent_shift,total_return,True,0.011264960355330788,0.011264960355330788,0.0066418757316582646,0.016118342445127023,0.9322580234484962,3.999920001599968e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:total_return,0.000999980000399992,supported_improvement
freq_hrl_full_v7,flat_gru_ppo_matched_v7,scenario:persistent_shift,secondary_baseline,persistent_shift,sharpe,True,36.407883481414906,36.407883481414906,21.031989383336626,53.811554200288846,0.8665621855580989,9.99980000399992e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:sharpe,0.0016999660006799865,supported_improvement
freq_hrl_full_v7,flat_gru_ppo_matched_v7,scenario:persistent_shift,secondary_baseline,persistent_shift,max_drawdown,False,-0.002185255300602503,0.002185255300602503,0.001620615626771533,0.0027664682874801996,1.5021365453923852,3.999920001599968e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:max_drawdown,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_gru_ppo_matched_v7,scenario:persistent_shift,secondary_baseline,persistent_shift,turnover,False,0.9397848561670848,-0.9397848561670848,-1.1919297435075074,-0.6998143538373861,-1.5065518551435255,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:turnover,0.0007199856002879943,supported_harm
freq_hrl_full_v7,flat_gru_ppo_matched_v7,scenario:persistent_shift,secondary_baseline,persistent_shift,LowerLFDriftAbs,False,-0.004034710123536833,0.004034710123536833,0.0026591529343227087,0.005511905241951251,1.104354966810949,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:LowerLFDriftAbs,0.0007199856002879943,supported_improvement
freq_hrl_full_v7,flat_gru_ppo_matched_v7,scenario:promotion_recovery,secondary_baseline,promotion_recovery,total_return,True,-0.005937784000718521,-0.005937784000718521,-0.01415224723367167,0.002052467540000327,-0.28554838150358497,0.1770164596708066,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:total_return,0.615187696246075,inconclusive
freq_hrl_full_v7,flat_gru_ppo_matched_v7,scenario:promotion_recovery,secondary_baseline,promotion_recovery,sharpe,True,-17.60651959116569,-17.60651959116569,-55.02982888686493,17.837055031379997,-0.18880871399506183,0.3628927421451571,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:sharpe,1.0,inconclusive
freq_hrl_full_v7,flat_gru_ppo_matched_v7,scenario:promotion_recovery,secondary_baseline,promotion_recovery,max_drawdown,False,0.006560373376009727,-0.006560373376009727,-0.013240780421738561,-0.0001436479133606794,-0.3912631449002549,0.06753864922701545,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:max_drawdown,0.3376932461350773,inconclusive
freq_hrl_full_v7,flat_gru_ppo_matched_v7,scenario:promotion_recovery,secondary_baseline,promotion_recovery,turnover,False,0.5564504719615107,-0.5564504719615107,-0.9828643343741263,-0.1082500610364958,-0.49446615058783894,0.02397952040959181,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:turnover,0.26377472450550987,inconclusive
freq_hrl_full_v7,flat_gru_ppo_matched_v7,scenario:promotion_recovery,secondary_baseline,promotion_recovery,LowerLFDriftAbs,False,-0.00349758972195377,0.00349758972195377,0.0024119439031984108,0.004609870622626042,1.2395972332845708,1.999960000799984e-05,20000,50000,24,8,1,independent_training_replicate,within_replicate_repeated_measure,secondary_baseline:LowerLFDriftAbs,0.0007199856002879943,supported_improvement
