check,claim,status,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,noninferiority_margin,win_rate,sign_p_value
demand_apc_profile_vs_fourier_mse,APC-calibrated causal route-halfhour profile on real APC boardings,supported,mse,apc_route_profile,fourier,decrease,24,-5034.999341152179,-8843.959760054579,-2369.06352169709,5034.999341152179,2276.2438938598248,8649.450303141979,,0.9583333333333334,2.9802322387695312e-06
demand_apc_profile_vs_fourier_mae,APC-calibrated causal route-halfhour profile on real APC boardings,supported,mae,apc_route_profile,fourier,decrease,24,-30.313588193259438,-41.54144858011833,-20.96932966294692,30.313588193259438,20.79173518121257,41.44968921402525,,1.0,1.1920928955078125e-07
demand_apc_profile_vs_fourier_poisson_nll_no_const,APC-calibrated causal route-halfhour profile on real APC boardings,supported,poisson_nll_no_const,apc_route_profile,fourier,decrease,24,-136.5008225225836,-180.46188080552355,-100.64437364148544,136.5008225225836,99.79178418216038,179.6741090151191,,1.0,1.1920928955078125e-07
trading_constraint_lower_lf,primal-dual constraint lowers trading lower-LF drift,supported,LowerLFDrift,trading_constrained,trading_plan,decrease,5,-1.0781856879544436,-1.2589940220658022,-0.8371210591584954,1.0781856879544436,0.8371210591584954,1.2589940220658022,,1.0,0.0625
trading_constraint_return_tradeoff,trading leakage constraint has no return tradeoff,supported,total_return,trading_constrained,trading_plan,increase,5,-0.00027452167478689835,-0.0011136398649986001,0.0005908910430237668,-0.00027452167478689835,-0.0011072366285058254,0.000590999735674898,,0.4,1.0
trading_constraint_raw_lower_lf,primal-dual constraint lowers raw trading lower-LF drift,supported,RawLowerLFDriftAbs,trading_constrained,trading_plan,decrease,5,-3.217010853443971e-05,-4.035299953310249e-05,-2.3019279835034452e-05,3.217010853443971e-05,2.2816045690793945e-05,4.067072309433585e-05,,1.0,0.0625
transit_constraint_lower_lf,primal-dual constraint lowers Transit lower-LF drift,supported,LowerLFDrift,transit_constrained,transit_plan,decrease,5,-0.3089563241370127,-0.33821777083336013,-0.2833995091642844,0.3089563241370127,0.2833995091642844,0.33812474026948364,,1.0,0.0625
transit_constraint_reward_tradeoff,Transit leakage constraint has no reward tradeoff,supported,reward_mean,transit_constrained,transit_plan,increase,5,0.03155868269103461,0.030815755572117888,0.032217688477581594,0.03155868269103461,0.030815755572117888,0.0322341909921656,,1.0,0.0625
transit_constraint_raw_lower_lf,primal-dual constraint lowers raw Transit lower-LF drift,supported,RawLowerLFDriftAbs,transit_constrained,transit_plan,decrease,5,-0.019235836846717553,-0.019288789602960838,-0.019188828935758327,0.019235836846717553,0.019188828935758327,0.019288789602960838,,1.0,0.0625
order_book_depth_adaptive_wavelet_vs_ema_sharpe,order-book stress encoder paired check,positive_mixed,sharpe,adaptive_wavelet,ema,increase,25,0.28065559236702625,-0.3942395298372984,0.9004117959183352,0.28065559236702625,-0.3885824903078145,0.9056350670634463,,0.68,0.10775214433670044
