seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,upper_plan_target_mean,upper_plan_target_std,terminal_launch_shift_mean,terminal_launch_shift_std,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_wait_replan_count,shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_actor_base_used_mean,shared_ppo_wait_replan_base_delta_abs_mean_s,shared_ppo_wait_replan_final_delta_abs_mean_s,shared_ppo_loss
1791,native_promotion_replan,supported_native_episode_loop,-17750.208,4.631,0.4409,-5.5128,127.0,0.5152671755725191,338.242596534251,5.518594957255307,-44.33969465648855,4.764198215816566,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3594.8889739990236
1801,native_promotion_replan,supported_native_episode_loop,-6366.53,7.633,0.6592,-8.9514,99.0,0.6221374045801527,344.4934539587329,7.560008552004379,-43.26335877862596,6.760016103992633,1.0,4969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6422.879443359375
1811,native_promotion_replan,supported_native_episode_loop,-8089.459,6.681,0.3274,-7.3358,137.0,0.4770992366412214,331.7263890763882,7.849245631211409,-44.57251908396947,4.025738819586899,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30687.573571777342
1821,native_promotion_replan,supported_native_episode_loop,-2663.683,6.601,0.4381,-7.4772,103.0,0.6068702290076335,336.08520268301925,4.273831660158705,-44.33587786259542,4.768872811627439,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26835.15157470703
1831,native_promotion_replan,supported_native_episode_loop,-12692.83,6.489,0.3947,-7.2783999999999995,201.0,0.23282442748091603,348.1133912747079,6.330778286922643,-44.43511450381679,4.430289974899841,0.8461538461538461,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109933.7068359375
1841,native_promotion_replan,supported_native_episode_loop,-18063.54,9.386,0.5529,-10.4918,149.0,0.4312977099236641,327.8881601630277,8.199675354223025,-44.545801526717554,4.1649896592154585,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208907.65126953126
1851,native_promotion_replan,supported_native_episode_loop,-2812.661,5.427,0.3451,-6.1171999999999995,83.0,0.683206106870229,333.76234205187734,6.612134977012965,-44.454198473282446,4.43397293187592,0.6923076923076924,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59338.32707519531
1861,native_promotion_replan,supported_native_episode_loop,-17649.829,5.07,0.4966,-6.0632,98.0,0.6259541984732825,335.4369457139011,8.169837939954773,-44.29770992366412,4.95736733950153,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22784.28682861328
1871,native_promotion_replan,supported_native_episode_loop,-14194.373,5.323,0.6608,-6.6446000000000005,92.0,0.648854961832061,340.44538371414325,5.7779874593390295,-44.30152671755725,4.913441366911797,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108006.98911132812
1881,native_promotion_replan,supported_native_episode_loop,-18774.06,6.475,0.7706,-8.0162,184.0,0.29770992366412213,350.11393913559937,8.713695725504573,-44.3206106870229,4.742639416474224,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20151.516442871092
1891,native_promotion_replan,supported_native_episode_loop,-20036.265,6.598,0.7416,-8.081199999999999,132.0,0.4961832061068702,339.016855995012,6.11791478234472,-44.38549618320611,4.610006079335705,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44030.44111328125
1901,native_promotion_replan,supported_native_episode_loop,-2801.019,4.373,0.35,-5.073,154.0,0.4122137404580153,332.02994871357924,7.893301833499081,-44.44656488549618,4.446781110622591,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.5097328186035
1911,native_promotion_replan,supported_native_episode_loop,-3957.74,4.468,0.5119,-5.4918,117.0,0.5534351145038168,328.8137468314959,4.575401011516031,-44.595419847328245,3.981404535542278,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3146.2657775878906
1921,native_promotion_replan,supported_native_episode_loop,-14685.326,12.506,0.3129,-13.1318,115.0,0.5610687022900763,342.55384749950457,8.732690179722658,-44.16793893129771,5.242446651806194,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4481.130584716797
1931,native_promotion_replan,supported_native_episode_loop,-4346.934,6.195,0.4826,-7.160200000000001,96.0,0.6335877862595419,330.02680965088706,5.660674355650722,-44.530534351145036,4.1614624765191,0.8461538461538461,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15982.885284423828
1941,native_promotion_replan,supported_native_episode_loop,-2571.236,3.735,0.416,-4.567,181.0,0.30916030534351147,350.03556617893105,9.97382711833364,-9.595419847328245,39.17883807705383,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2652.421401977539
1951,native_promotion_replan,supported_native_episode_loop,-2633.409,4.565,0.4701,-5.5052,122.0,0.5343511450381679,335.816049077432,8.919624592782654,-44.51526717557252,4.22887156338539,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.6439224243164
1961,native_promotion_replan,supported_native_episode_loop,-3635.239,5.096,0.4682,-6.0324,108.0,0.5877862595419847,338.88076201164694,5.0308824894432735,-44.458015267175576,4.401178783779389,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5884.964331054687
1971,native_promotion_replan,supported_native_episode_loop,-18733.951,4.42,0.5209,-5.4618,114.0,0.5648854961832062,336.93993582073364,4.868537474887016,-44.30916030534351,4.795018891009909,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5316.139916992188
1981,native_promotion_replan,supported_native_episode_loop,-18957.241,5.107,0.484,-6.075,126.0,0.5190839694656488,337.544905840833,10.9450710311835,-42.79770992366412,7.004436605475886,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3709.223797607422
