seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_loss
71,native_promotion_replan,supported_native_episode_loop,-3140.083,4.097,0.5732,-5.2434,114.0,0.5648854961832062,0.0,4971.0,0.0,0.0,0.0,255.76479721069336
81,native_promotion_replan,supported_native_episode_loop,-12359.77,4.738,0.5171,-5.772200000000001,131.0,0.5,0.07692307692307698,4970.0,0.0,0.0,0.0,8013.710852050781
91,native_promotion_replan,supported_native_episode_loop,-18286.736,4.642,0.6118,-5.865600000000001,109.0,0.583969465648855,0.0,4969.0,0.0,0.0,0.0,4104.282788085938
101,native_promotion_replan,supported_native_episode_loop,-19968.947,19.972,0.5481,-21.0682,154.0,0.4122137404580153,1.0,4971.0,0.0,0.0,0.0,5722.289111328125
111,native_promotion_replan,supported_native_episode_loop,-14014.961,4.092,0.6505,-5.393,90.0,0.6564885496183206,1.0,4970.0,0.0,0.0,0.0,527.9095268249512
121,native_promotion_replan,supported_native_episode_loop,-12324.284,6.143,0.2267,-6.5964,109.0,0.583969465648855,0.35731765676543636,4970.0,0.0,0.0,0.0,3287.7271484375
131,native_promotion_replan,supported_native_episode_loop,-18594.268,6.005,0.6346,-7.2742,134.0,0.48854961832061067,0.5558903347145858,4971.0,0.0,0.0,0.0,2452.359799194336
141,native_promotion_replan,supported_native_episode_loop,-17278.581,38.28,0.5171,-39.3142,77.0,0.7061068702290076,0.0,4970.0,0.0,0.0,0.0,4062.7789306640625
151,native_promotion_replan,supported_native_episode_loop,-5918.565,13.869,0.5083,-14.8856,126.0,0.5190839694656488,1.0,4970.0,0.0,0.0,0.0,2156.7151580810546
161,native_promotion_replan,supported_native_episode_loop,-2798.431,4.44,0.4512,-5.3424000000000005,104.0,0.6030534351145038,0.0,4971.0,0.0,0.0,0.0,12350.803576660157
171,native_promotion_replan,supported_native_episode_loop,-16088.774,20.877,0.4954,-21.8678,88.0,0.6641221374045801,0.8461538461538461,4970.0,0.0,0.0,0.0,2474.9033142089843
