route_id,grouping_type,direction_id,direction_name,stop_sequence,stop_id
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,3,MTA_307154
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,4,MTA_307155
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,5,MTA_306977
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,6,MTA_308771
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,7,MTA_302064
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,8,MTA_302019
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,9,MTA_302020
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,10,MTA_307207
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,11,MTA_302022
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,12,MTA_307897
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,13,MTA_304524
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,14,MTA_308787
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,15,MTA_302074
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,16,MTA_302075
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,17,MTA_302076
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,18,MTA_302077
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,19,MTA_302078
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,20,MTA_302080
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,21,MTA_302081
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,22,MTA_302082
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,23,MTA_307164
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,24,MTA_307495
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,25,MTA_901796
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,26,MTA_302087
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,27,MTA_302088
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,28,MTA_504183
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,29,MTA_505544
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,30,MTA_700881
