stop_id,code,name,lat,lon,direction,wheelchair_boarding
MTA_307486,307486,7 AV SERVICE RD SOUTH/BAY RIDGE PKWY,40.626752,-74.018855,SW,UNKNOWN
MTA_307487,307487,7 AV SERVICE RD SOUTH/77 ST,40.625286,-74.019489,SW,UNKNOWN
MTA_307488,307488,7 AV SERVICE RD SOUTH/79 ST,40.624024,-74.020393,SW,UNKNOWN
MTA_307489,307489,7 AV SERVICE RD SOUTH/81 ST,40.622816,-74.021408,SW,UNKNOWN
MTA_307490,307490,FORT HAMILTON PKWY/83 ST,40.621767,-74.02264,SW,UNKNOWN
MTA_307514,307514,FORT HAMILTON PKWY/86 ST,40.620375,-74.024532,SW,UNKNOWN
MTA_307647,307647,FORT HAMILTON PKWY/83 ST,40.6218,-74.022276,NE,UNKNOWN
MTA_307709,307709,37 ST/4 AV,40.653814,-74.00524,SE,UNKNOWN
MTA_308084,308084,4 AV/39 ST,40.652917,-74.005712,NE,UNKNOWN
MTA_308099,308099,8 AV/52 ST,40.6402,-74.004554,NE,UNKNOWN
MTA_308100,308100,8 AV/44 ST,40.644672,-73.999906,NE,UNKNOWN
MTA_308101,308101,8 AV/43 ST,40.644794,-73.999911,SW,UNKNOWN
MTA_308102,308102,8 AV/55 ST,40.638096,-74.00689,SW,UNKNOWN
MTA_308176,308176,92 ST/7 AV,40.614897,-74.023174,NW,UNKNOWN
MTA_308177,308177,FORT HAMILTON PKWY/90 ST,40.618478,-74.026057,NE,UNKNOWN
MTA_308178,308178,FORT HAMILTON PKWY/90 ST,40.618061,-74.026637,SW,UNKNOWN
MTA_308270,308270,CROPSEY AV/OPP V A HOSPITAL,40.608845,-74.023156,NW,UNKNOWN
MTA_308355,308355,CROPSEY AV/BROOKLYN CAMPUS,40.609103,-74.023816,E,UNKNOWN
MTA_308356,308356,V A HOSPITAL/BAY 3,40.607531,-74.023155,SE,UNKNOWN
MTA_801020,801020,CROPSEY AV/V A HOSPITAL,40.609134,-74.023885,SE,UNKNOWN
MTA_901493,901493,7 AV/79 ST,40.623414,-74.019065,NE,UNKNOWN
MTA_901799,901799,39 ST/3 AV,40.653981,-74.008385,NW,UNKNOWN
MTA_901800,901800,39 ST/3 AV,40.654062,-74.008517,NW,UNKNOWN
MTA_930105,930105,2 AV/37 ST,40.656098,-74.009576,NE,UNKNOWN
MTA_100204,100204,WESTCHESTER AV/SAINT ANN'S AV,40.816026,-73.912148,E,UNKNOWN
MTA_100206,100206,WESTCHESTER AV/JACKSON AV,40.816164,-73.90832,NE,UNKNOWN
MTA_100207,100207,WESTCHESTER AV/E 156 ST,40.817829,-73.905423,NE,UNKNOWN
MTA_100209,100209,WESTCHESTER AV/PROSPECT AV,40.819413,-73.902025,NE,UNKNOWN
MTA_100211,100211,WESTCHESTER AV/REV J POLITE AV,40.82088,-73.899106,NE,UNKNOWN
MTA_100212,100212,WESTCHESTER AV/INTERVALE AV,40.821942,-73.897089,NE,UNKNOWN
MTA_100214,100214,WESTCHESTER AV/SIMPSON ST,40.824006,-73.893119,NE,UNKNOWN
