environment,optimizer_seed,baseline_episode_return,full_method_episode_return,episode_return_difference,baseline_LowerLFDriftAbs,full_method_LowerLFDriftAbs,relative_responsibility_drift_reduction,baseline_RawLowerLFDriftAbs,full_method_RawLowerLFDriftAbs,relative_raw_lower_drift_reduction,full_method_UpperHFPowerAbs,full_method_upper_hf_rms,selected_branch,reconstruction_rms_max,baseline_checkpoint_match
Hopper-v5,655399053,175.01776886282113,172.68351001830155,-2.3342588445195815,0.06877424145035053,0.005689507631069957,0.9172726952549913,0.06877424145035053,0.007098205566342905,0.8967897658098165,0.006342735439142119,0.07964129229954847,reward_guarded_adam_projection,1.4079130638747843e-08,True
Hopper-v5,4222339063,283.42098356782355,283.42098356782355,0.0,0.08489282979360825,0.0359238078441399,0.5768334271401014,0.08489282979360825,0.08489282979360825,0.0,0.009983302232181487,0.0999164762798483,no_leakage,1.4096286425260269e-08,True
Hopper-v5,1548381879,307.1449453305521,307.1449453305521,0.0,0.07310323513888989,0.04627588608243015,0.3669789579830506,0.07310323513888989,0.07310323513888989,0.0,0.010306394531695259,0.10152041435935562,no_leakage,1.2844529885146363e-08,True
Walker2d-v5,3596220588,242.86158259386403,298.8954706300921,56.03388803622809,0.02333317694049237,0.0021102222886701105,0.9095612957441713,0.02333317694049237,0.01125755582715536,0.5175300879144746,0.00031073593523086413,0.017627703628971758,scalarized,1.8365490650402656e-08,True
Walker2d-v5,707075335,235.07651097311523,235.07651097311523,0.0,0.07728956577186544,0.010345971024914368,0.8661401326092006,0.07728956577186544,0.07728956577186544,0.0,0.0007397414109129371,0.027198187640225902,no_leakage,1.806046682020522e-08,True
Walker2d-v5,2102554650,226.39124261463334,275.46166113964273,49.07041852500939,0.08656798644122236,0.0028269906948212077,0.9673436935403289,0.08656798644122236,0.02301800123278705,0.7341049251686622,0.0006031383540860833,0.02455887526101477,reward_guarded_adam_projection,1.8323170224403684e-08,True
Walker2d-v5,729733352,218.8937921334482,218.8937921334482,0.0,0.039823061295714654,0.0049351827811202845,0.876072240040186,0.039823061295714654,0.039823061295714654,0.0,0.0005208220968515502,0.022821527049072553,no_leakage,1.9369644601404434e-08,True
Walker2d-v5,2677106215,205.6949394520318,278.52744995821286,72.83251050618105,0.0958714439660352,0.002099153515838006,0.9781044967197774,0.0958714439660352,0.008392047816113846,0.9124656157355162,0.0003535990654946781,0.018804229989411374,scalarized,1.8513244324705375e-08,True
Walker2d-v5,2294726814,252.25280111140827,252.25280111140827,0.0,0.06028502808477676,0.007587643830562374,0.8741371768145794,0.06028502808477676,0.06028502808477676,0.0,0.0008397885615820663,0.02897910560355627,no_leakage,2.0685706596768996e-08,True
Walker2d-v5,180002411,237.36716819234798,267.88606089086704,30.518892698519068,0.03253075969450299,0.0027145024538785143,0.9165558234922744,0.03253075969450299,0.016827437976976924,0.4827222562582698,0.0006821344902926671,0.02611770453720363,scalarized,1.8702331938644392e-08,True
Walker2d-v5,2597703301,214.3864390740976,214.3864390740976,0.0,0.07401791447534203,0.010028698583251977,0.8645098466453971,0.07401791447534203,0.07401791447534203,0.0,0.0007971468649121528,0.02823378941821577,no_leakage,1.8537573999347838e-08,True
Walker2d-v5,4120591705,325.49654040560773,321.39834102421827,-4.098199381389463,0.056515887477873464,0.004531576161076588,0.919817659010473,0.056515887477873464,0.014971865177856378,0.7350857281730201,0.0008330317036069582,0.028862288606535662,reward_guarded_adam_projection,1.87059518446016e-08,True
Walker2d-v5,2971934405,209.2360209299528,230.8126559604454,21.57663503049261,0.028210116113825224,0.0018225157175102073,0.9353949586681415,0.028210116113825224,0.011636037489974153,0.5875225240823607,0.000403309126278255,0.020082557762353258,scalarized,1.8296148870335086e-08,True
Walker2d-v5,3557572450,207.87816420573662,288.0909742770996,80.21281007136295,0.041014260464860765,0.0018579796611858802,0.9546991792579628,0.041014260464860765,0.013091929895044268,0.6807956611515436,0.00028928642273826825,0.01700842211194996,scalarized,1.8594984519326515e-08,True
Walker2d-v5,514480913,305.8291461870701,305.8291461870701,0.0,0.050285488462833504,0.008868164109003238,0.8236436717611327,0.050285488462833504,0.050285488462833504,0.0,0.0009166100257727884,0.030275568132948197,no_leakage,1.9851100940110975e-08,True
Walker2d-v5,3888877169,213.1504363087854,320.57636159760835,107.42592528882295,0.06644654318817116,0.003046192256999415,0.9541557451924497,0.06644654318817116,0.01299609718949583,0.8044127419436712,0.0005585797454701569,0.023634291727702712,scalarized,1.836675212090445e-08,True
Walker2d-v5,3466954944,337.9334214776657,337.9334214776657,0.0,0.07377458090131894,0.012868498562973011,0.8255700214659851,0.07377458090131894,0.07377458090131894,0.0,0.0010124383253738859,0.03181883601538381,no_leakage,1.6952860927190638e-08,True
Walker2d-v5,2796825593,274.7404872602299,274.7404872602299,0.0,0.0852990508174799,0.009463472269164419,0.8890553625337045,0.0852990508174799,0.0852990508174799,0.0,0.0009254052592311244,0.030420474342638452,no_leakage,1.9898395976935238e-08,True
Walker2d-v5,1083410249,217.25853226913736,240.79248863218973,23.53395636305237,0.028624447830713697,0.0022974386502519458,0.9197385862658696,0.028624447830713697,0.01198086265743196,0.5814465058579528,0.00040454544914141825,0.020113315220058037,scalarized,1.792339505881619e-08,True
Walker2d-v5,3094989646,260.561985484055,260.561985484055,0.0,0.060544776008149524,0.009414046428385907,0.8445110041018444,0.060544776008149524,0.060544776008149524,0.0,0.0005718064532224338,0.02391247484520232,no_leakage,1.7678355210293437e-08,True
Walker2d-v5,402019680,252.15192756933888,273.3177675967394,21.165840027400492,0.03555114790653824,0.0020874880691442777,0.9412821190856578,0.03555114790653824,0.010585487885279776,0.7022462421436189,0.00030379714675266315,0.017429777587584506,scalarized,1.8531836776189627e-08,True
Walker2d-v5,3276696591,265.9532998589526,329.22765759902575,63.27435774007313,0.07079179993917034,0.0015225340363557408,0.9784927910059638,0.07079179993917034,0.004442671924311076,0.9372431280440876,0.00040657991170481327,0.02016382681201198,scalarized,1.7792590984526102e-08,True
Walker2d-v5,3507872935,221.0463263774365,221.0463263774365,0.0,0.00856754013468208,0.002203578446940569,0.7427991684543958,0.00856754013468208,0.00856754013468208,0.0,0.00034918978083596513,0.018686620369557604,no_leakage,1.8211815914596062e-08,True
Walker2d-v5,2829590401,280.6200728819325,280.6200728819325,0.0,0.027796116148811344,0.006580979814230903,0.7632410305454732,0.027796116148811344,0.027796116148811344,0.0,0.0005578954634795996,0.023619810826499006,no_leakage,1.758782877286761e-08,True
Walker2d-v5,655399053,272.33863856720626,272.33863856720626,0.0,0.027247166683226232,0.004062537244849675,0.850900561805913,0.027247166683226232,0.027247166683226232,0.0,0.0005841632444765824,0.024169469263444376,no_leakage,1.8723499270416365e-08,True
Walker2d-v5,4222339063,266.6990817673569,277.4173225776256,10.718240810268696,0.023800974061150143,0.0022820091219519162,0.9041211878098386,0.023800974061150143,0.016608918191296156,0.3021748543305812,0.0004582789319199773,0.021407450383452424,reward_guarded_adam_projection,1.8598239357763932e-08,True
Walker2d-v5,1548381879,252.6506481656394,282.11752395016697,29.46687578452756,0.03876277235114552,0.001210965107413875,0.968759584674596,0.03876277235114552,0.006600896082589727,0.8297104236303506,0.00037874035589258154,0.01946125268045666,scalarized,1.678679221703909e-08,True
